sample_id,latitude,longitude,date,area_hectares,tree_count,trees_per_hectare,density_category,dominant_species,ndvi,nir,red,green,blue,gndvi,nir_red_ratio,green_red_ratio,nir_std,texture,canopy_density,forest_type,elevation_m,slope_degrees,source,quality_score
dang_0013,20.892031,73.821345,2024-03-11,1.0,177,177.43,very_dense,Kudi,0.8178,0.6,0.1627,0.2058,0.174,0.4891,3.6849,1.2642,0.196,0.1852,77.63,Tropical Deciduous,576.0,34.8,FSI_Report_2017,0.8629403090076467
dang_0014,20.746952,73.585896,2024-03-24,1.0,165,165.99,very_dense,Teak,0.8274,0.6,0.1586,0.1641,0.1168,0.5705,3.7803,1.0336,0.0898,0.1732,94.33,Tropical Deciduous,997.4,22.1,Field_Survey_2024,0.7710258062963391
dang_0015,20.789063,73.745347,2024-03-05,1.0,149,149.21,very_dense,Teak,0.7749,0.6,0.1944,0.1565,0.1795,0.5861,3.085,0.8049,0.1205,0.1839,92.09,Teak Plantation,1055.4,11.6,DAIICT_Study_2019,0.7867506792861212
dang_0016,20.993722,73.533299,2024-03-29,1.0,155,155.4,very_dense,Teak,0.8277,0.6,0.1186,0.2335,0.1736,0.4396,5.0527,1.9665,0.1544,0.271,72.43,Teak Plantation,1090.6,4.9,DAIICT_Study_2019,0.8380988205962002
dang_0017,20.872192,73.849293,2024-03-11,1.0,168,168.36,very_dense,Kalam,0.7829,0.5994,0.1571,0.1884,0.1412,0.5216,3.813,1.1987,0.0622,0.1016,85.7,Tropical Deciduous,217.4,13.9,FSI_Report_2017,0.7857742210451121
dang_0018,20.51041,73.789237,2024-03-23,1.0,166,166.88,very_dense,Kudi,0.7492,0.565,0.2234,0.2758,0.166,0.3439,2.5279,1.2341,0.0875,0.1117,77.58,Tropical Deciduous,460.3,29.0,FSI_Report_2017,0.9716480481700297
dang_0019,20.728371,73.923,2024-03-20,1.0,156,156.45,very_dense,Kher,0.8049,0.5968,0.1218,0.2954,0.1515,0.3377,4.8959,2.4236,0.0562,0.2196,80.84,Teak Plantation,388.3,6.5,FSI_Report_2017,0.9677616486467866
dang_0020,20.845676,73.52458,2024-03-26,1.0,146,146.26,very_dense,Teak,0.7375,0.5974,0.2002,0.249,0.108,0.4116,2.9828,1.2433,0.1932,0.3214,83.86,Teak Plantation,548.6,8.7,DAIICT_Study_2019,0.8273052186307389
dang_0021,20.503702,73.554,2024-03-05,1.0,143,143.77,very_dense,Sadad,0.7467,0.6,0.1435,0.1526,0.1563,0.5944,4.1777,1.0624,0.171,0.2039,81.62,Teak Plantation,195.7,33.2,Satellite_Analysis,0.8971419737686663
dang_0022,20.504164,73.969466,2024-03-01,1.0,161,161.58,very_dense,Teak,0.8026,0.6,0.2036,0.2916,0.1667,0.3458,2.9454,1.4316,0.1455,0.3403,86.93,Tropical Deciduous,272.1,28.4,Satellite_Analysis,0.8727632637365708
dang_0023,20.912603,73.82615,2024-03-11,1.0,147,147.83,very_dense,Teak,0.7104,0.5363,0.1387,0.1642,0.1483,0.5312,3.864,1.1827,0.0607,0.1957,91.12,Tropical Deciduous,923.7,9.9,FSI_Report_2017,0.9375850055186268
dang_0024,20.815463,73.941019,2024-03-04,1.0,156,156.72,very_dense,Sadad,0.8451,0.6,0.1388,0.2353,0.1376,0.4366,4.3195,1.6938,0.1597,0.1383,76.25,Tropical Deciduous,973.8,19.7,FSI_Report_2017,0.8943124902578967
dang_0025,20.871756,73.616095,2024-03-30,1.0,176,176.1,very_dense,Sadad,0.7758,0.6,0.1493,0.2843,0.1189,0.3569,4.0169,1.9035,0.0516,0.3716,72.28,Tropical Deciduous,1052.6,33.3,DAIICT_Study_2019,0.7500580645328293
dang_0026,20.723896,73.644039,2024-03-25,1.0,162,162.15,very_dense,Teak,0.7319,0.6,0.2086,0.167,0.1731,0.5644,2.8755,0.8005,0.1961,0.3988,71.4,Teak Plantation,668.6,24.7,Satellite_Analysis,0.9255301086902399
dang_0027,20.920992,73.935629,2024-03-06,1.0,143,143.36,very_dense,Sadad,0.8051,0.5904,0.1906,0.2559,0.0881,0.3951,3.0951,1.3418,0.0627,0.396,79.36,Tropical Deciduous,922.2,33.2,Satellite_Analysis,0.9217750678981071
dang_0028,20.687276,73.537443,2024-03-29,1.0,155,155.12,very_dense,Sadad,0.8058,0.6,0.1413,0.2152,0.1054,0.472,4.2434,1.5217,0.1108,0.2714,88.52,Teak Plantation,931.7,26.0,Field_Survey_2024,0.8672362222802906
dang_0029,20.699433,73.737822,2024-03-25,1.0,174,174.74,very_dense,Teak,0.7335,0.6,0.1312,0.2955,0.0843,0.34,4.5713,2.2512,0.1837,0.2583,94.82,Tropical Deciduous,676.2,33.9,DAIICT_Study_2019,0.9576713638436023
dang_0030,20.849353,73.726043,2024-03-21,1.0,167,167.88,very_dense,Teak,0.7576,0.6,0.2142,0.2938,0.0858,0.3425,2.7993,1.3708,0.1092,0.132,78.39,Tropical Deciduous,764.5,13.6,FSI_Report_2017,0.9589426273087923
dang_0031,20.679203,73.627133,2024-03-27,1.0,167,167.93,very_dense,Teak,0.7804,0.5992,0.1973,0.2527,0.0963,0.4067,3.0362,1.2805,0.1866,0.3468,93.74,Teak Plantation,732.7,14.6,Satellite_Analysis,0.8704996856420113
dang_0032,20.519339,73.508402,2024-03-01,1.0,171,171.1,very_dense,Kalam,0.7721,0.6,0.1561,0.2624,0.1193,0.3914,3.8423,1.6806,0.1744,0.2707,71.59,Tropical Deciduous,277.2,0.5,FSI_Report_2017,0.8898372931752037
dang_0033,20.767474,73.87618,2024-03-03,1.0,162,162.22,very_dense,Sadad,0.8153,0.6,0.1904,0.1871,0.1251,0.5245,3.1503,0.9824,0.0694,0.3862,85.15,Tropical Deciduous,788.1,21.6,DAIICT_Study_2019,0.9792000765426746
dang_0034,20.837089,73.759472,2024-03-22,1.0,173,173.25,very_dense,Teak,0.7462,0.6,0.2229,0.1633,0.1592,0.5721,2.69,0.732,0.1385,0.244,80.51,Teak Plantation,757.4,28.2,Satellite_Analysis,0.818728654006626
dang_0035,20.993789,73.804091,2024-03-18,1.0,155,155.69,very_dense,Teak,0.7656,0.6,0.1551,0.2271,0.1584,0.4508,3.865,1.4629,0.1095,0.2866,91.56,Teak Plantation,289.7,32.4,DAIICT_Study_2019,0.8246619657316397
dang_0036,20.72932,73.993151,2024-03-21,1.0,153,153.9,very_dense,Teak,0.7314,0.5968,0.1647,0.2306,0.126,0.4425,3.6203,1.3988,0.1377,0.2201,87.44,Tropical Deciduous,811.7,14.4,Satellite_Analysis,0.7920379976126042
dang_0037,20.990059,73.800964,2024-03-19,1.0,141,141.63,very_dense,Teak,0.7253,0.5631,0.1501,0.1633,0.0921,0.5503,3.7488,1.0873,0.1191,0.1619,79.11,Tropical Deciduous,805.9,1.4,Field_Survey_2024,0.9560493960063097
dang_0038,20.537876,73.93904,2024-03-16,1.0,142,142.44,very_dense,Teak,0.7415,0.6,0.2024,0.1777,0.1009,0.543,2.9635,0.8776,0.1056,0.2454,85.46,Tropical Deciduous,589.4,26.2,FSI_Report_2017,0.9212323296883312
dang_0039,20.858282,73.950034,2024-03-14,1.0,169,169.98,very_dense,Teak,0.7046,0.6,0.174,0.2096,0.0905,0.4822,3.4454,1.2035,0.1606,0.1547,84.1,Teak Plantation,234.7,18.7,FSI_Report_2017,0.7742978552401556
dang_0040,20.736845,73.6755,2024-03-09,1.0,159,159.94,very_dense,Teak,0.713,0.5815,0.1948,0.2618,0.1232,0.3791,2.9842,1.3435,0.0691,0.1851,79.08,Teak Plantation,692.2,12.5,Satellite_Analysis,0.975806490775532
dang_0041,20.616745,73.546736,2024-03-06,1.0,154,154.61,very_dense,Teak,0.7732,0.6,0.1268,0.2709,0.0856,0.3779,4.7267,2.134,0.1763,0.1155,70.46,Teak Plantation,1097.4,31.4,DAIICT_Study_2019,0.9181211928770567
dang_0042,20.499089,73.990627,2024-03-30,1.0,146,146.84,very_dense,Kudi,0.8003,0.6,0.1656,0.2357,0.108,0.4358,3.6213,1.4228,0.1654,0.1561,78.09,Tropical Deciduous,632.2,8.5,FSI_Report_2017,0.9456200852091441
dang_0043,20.642822,73.790443,2024-03-11,1.0,177,177.28,very_dense,Teak,0.7481,0.6,0.1625,0.2181,0.1349,0.4667,3.6902,1.3416,0.1323,0.1605,87.11,Tropical Deciduous,281.9,0.1,FSI_Report_2017,0.7610746815098363
dang_0044,20.803875,73.898737,2024-03-17,1.0,174,174.03,very_dense,Teak,0.8119,0.6,0.1997,0.2986,0.1005,0.3353,3.0026,1.4945,0.1069,0.3779,88.04,Tropical Deciduous,892.4,29.0,Field_Survey_2024,0.8661410113566985
dang_0045,20.91499,73.58975,2024-03-19,1.0,166,166.61,very_dense,Sadad,0.7785,0.6,0.2042,0.2089,0.1617,0.4835,2.9371,1.0224,0.1159,0.2131,81.57,Tropical Deciduous,860.2,17.6,FSI_Report_2017,0.910677605947219
dang_0046,20.691148,73.771288,2024-03-08,1.0,149,149.16,very_dense,Kudi,0.7814,0.6,0.1489,0.2596,0.1494,0.396,4.0281,1.7427,0.075,0.3636,82.39,Teak Plantation,694.5,34.9,Field_Survey_2024,0.8748777144515235
dang_0047,20.89137,73.567752,2024-03-04,1.0,162,162.8,very_dense,Sadad,0.8144,0.6,0.1399,0.2732,0.0911,0.3742,4.2858,1.9514,0.177,0.1382,79.93,Teak Plantation,292.4,8.0,Field_Survey_2024,0.9033289171108339
dang_0048,20.821654,73.847734,2024-03-04,1.0,168,168.65,very_dense,Sadad,0.7899,0.6,0.209,0.2014,0.1027,0.4974,2.8701,0.9633,0.1135,0.1864,85.37,Teak Plantation,282.2,3.5,FSI_Report_2017,0.9381110346258087
dang_0049,20.79721,73.546955,2024-03-16,1.0,167,167.87,very_dense,Sadad,0.8384,0.6,0.1137,0.2364,0.1407,0.4346,5.2705,2.077,0.1136,0.3209,93.36,Teak Plantation,578.3,4.0,Satellite_Analysis,0.8360975244808451
dang_0050,20.559641,73.963064,2024-03-22,1.0,160,160.75,very_dense,Kalam,0.7887,0.6,0.1189,0.2003,0.1603,0.4994,5.0433,1.6835,0.0507,0.2,79.95,Tropical Deciduous,1023.9,12.1,DAIICT_Study_2019,0.9451937953923032
dang_0051,20.72581,73.609167,2024-03-12,1.0,176,176.51,very_dense,Sadad,0.7372,0.6,0.1454,0.1551,0.1111,0.5892,4.1242,1.066,0.1671,0.1833,75.5,Tropical Deciduous,639.4,34.1,DAIICT_Study_2019,0.7874707040960168
dang_0052,20.932999,73.766976,2024-03-08,1.0,160,160.09,very_dense,Teak,0.7893,0.5803,0.1882,0.1815,0.1698,0.5235,3.0817,0.9638,0.0808,0.1572,70.91,Tropical Deciduous,686.6,2.3,Field_Survey_2024,0.8123037926560662
dang_0053,20.762423,73.71904,2024-03-18,1.0,159,159.88,very_dense,Teak,0.8148,0.5992,0.139,0.1613,0.1553,0.5757,4.3077,1.1598,0.0908,0.3692,83.16,Teak Plantation,1080.0,29.4,Satellite_Analysis,0.759969492583285
dang_0054,20.776289,73.624052,2024-03-23,1.0,166,166.88,very_dense,Teak,0.703,0.5322,0.2191,0.1768,0.1453,0.5012,2.4278,0.8065,0.0857,0.1298,76.08,Teak Plantation,962.9,29.1,DAIICT_Study_2019,0.8338181666071077
dang_0055,20.600389,73.644007,2024-03-16,1.0,143,143.48,very_dense,Sadad,0.795,0.6,0.1963,0.1684,0.1676,0.5616,3.0547,0.8574,0.1464,0.3112,92.77,Teak Plantation,469.1,28.9,DAIICT_Study_2019,0.8373791953095476
dang_0056,20.917791,73.670461,2024-03-30,1.0,154,154.51,very_dense,Teak,0.8292,0.6,0.1987,0.267,0.0914,0.3841,3.018,1.3428,0.1349,0.3956,81.78,Tropical Deciduous,610.5,17.9,Field_Survey_2024,0.9352122373576677
dang_0057,20.700614,73.605821,2024-03-22,1.0,173,173.4,very_dense,Sadad,0.8477,0.6,0.1129,0.1908,0.0818,0.5173,5.3112,1.6894,0.1871,0.1353,84.41,Tropical Deciduous,676.5,22.8,Satellite_Analysis,0.9002200541666209
dang_0058,20.501978,73.564579,2024-03-25,1.0,150,150.66,very_dense,Teak,0.8098,0.6,0.1704,0.2241,0.1373,0.456,3.5199,1.3149,0.1757,0.2213,89.27,Tropical Deciduous,486.2,33.6,FSI_Report_2017,0.8504461883758033
dang_0059,20.887521,73.529691,2024-03-11,1.0,151,151.55,very_dense,Teak,0.7534,0.6,0.1537,0.235,0.1276,0.4371,3.901,1.5276,0.1496,0.381,88.31,Tropical Deciduous,179.6,9.2,DAIICT_Study_2019,0.8999862150834621
dang_0060,20.748207,73.798375,2024-03-02,1.0,164,164.93,very_dense,Teak,0.7711,0.5971,0.1538,0.2119,0.1505,0.4761,3.8796,1.3769,0.1397,0.2379,71.9,Tropical Deciduous,152.2,33.9,FSI_Report_2017,0.762140170618609
dang_0061,20.655995,73.905417,2024-03-17,1.0,145,145.47,very_dense,Teak,0.8425,0.6,0.1158,0.2313,0.1673,0.4435,5.179,1.9964,0.1598,0.342,86.47,Teak Plantation,956.7,8.7,DAIICT_Study_2019,0.7914624532842265
dang_0062,20.997444,73.974865,2024-03-15,1.0,141,141.77,very_dense,Teak,0.7882,0.6,0.1691,0.221,0.1113,0.4616,3.5459,1.306,0.0681,0.3193,74.81,Tropical Deciduous,550.7,27.8,Field_Survey_2024,0.8941980067056037
dang_0063,20.727294,73.760553,2024-03-07,1.0,141,141.48,very_dense,Teak,0.7894,0.5967,0.1252,0.1615,0.1496,0.5738,4.761,1.289,0.101,0.3174,71.63,Tropical Deciduous,662.5,27.7,DAIICT_Study_2019,0.8975143684218195
dang_0064,20.945857,73.808043,2024-03-30,1.0,156,156.7,very_dense,Teak,0.7693,0.6,0.1192,0.1778,0.1184,0.5427,5.0278,1.4901,0.1899,0.121,70.24,Tropical Deciduous,234.1,1.3,DAIICT_Study_2019,0.9280509715027082
dang_0065,20.634227,73.697449,2024-03-30,1.0,156,156.71,very_dense,Teak,0.7632,0.6,0.1449,0.1666,0.1155,0.5653,4.1375,1.1486,0.0931,0.1889,75.84,Tropical Deciduous,167.0,34.6,DAIICT_Study_2019,0.8426899445823285
dang_0066,20.841185,73.605938,2024-03-26,1.0,171,171.92,very_dense,Teak,0.7388,0.6,0.2266,0.2826,0.1401,0.3595,2.6469,1.2468,0.1856,0.3968,88.58,Tropical Deciduous,531.5,29.3,FSI_Report_2017,0.9161874422217159
dang_0067,20.557448,73.518862,2024-03-25,1.0,148,148.82,very_dense,Kalam,0.728,0.6,0.1666,0.1587,0.1769,0.5816,3.5988,0.9517,0.1826,0.3783,94.87,Tropical Deciduous,526.4,26.5,Field_Survey_2024,0.9073154764888436
dang_0068,20.910272,73.609083,2024-03-24,1.0,169,169.91,very_dense,Teak,0.7052,0.6,0.2244,0.2186,0.1191,0.4658,2.6721,0.9736,0.0909,0.243,71.11,Teak Plantation,183.7,11.5,Satellite_Analysis,0.9715804770250653
dang_0069,20.63915,73.623422,2024-03-06,1.0,150,150.39,very_dense,Sadad,0.8085,0.6,0.1156,0.183,0.1483,0.5324,5.188,1.5826,0.0614,0.3554,82.38,Tropical Deciduous,712.8,28.9,DAIICT_Study_2019,0.7994799520776762
dang_0070,20.783396,73.63073,2024-03-06,1.0,160,160.85,very_dense,Sadad,0.8302,0.6,0.1167,0.1741,0.1134,0.5502,5.1384,1.4907,0.0858,0.379,72.65,Teak Plantation,329.8,30.9,Satellite_Analysis,0.876886299663107
dang_0071,20.942353,73.497615,2024-03-11,1.0,149,149.15,very_dense,Teak,0.8363,0.6,0.1547,0.2635,0.1059,0.3897,3.8753,1.7019,0.079,0.1252,78.16,Tropical Deciduous,260.1,13.2,FSI_Report_2017,0.8884058216854079
dang_0072,20.561562,73.639023,2024-03-07,1.0,161,161.65,very_dense,Kalam,0.8444,0.6,0.1599,0.2898,0.0903,0.3486,3.7494,1.811,0.1906,0.3064,71.7,Tropical Deciduous,822.8,2.4,DAIICT_Study_2019,0.9796890135348708
dang_0073,20.81139,73.518251,2024-03-18,1.0,179,179.61,very_dense,Teak,0.8014,0.6,0.1743,0.2392,0.1184,0.43,3.4397,1.3711,0.0598,0.3465,79.3,Teak Plantation,389.9,0.0,FSI_Report_2017,0.7962723526983299
dang_0074,20.975445,73.546945,2024-03-09,1.0,146,146.54,very_dense,Teak,0.8192,0.6,0.1263,0.1624,0.148,0.574,4.7464,1.2844,0.1482,0.182,93.77,Tropical Deciduous,560.7,33.0,DAIICT_Study_2019,0.8703401445924772
dang_0075,20.6981,73.634384,2024-03-03,1.0,152,152.48,very_dense,Teak,0.7481,0.6,0.2002,0.1801,0.1668,0.5383,2.9963,0.8991,0.1572,0.2688,81.79,Tropical Deciduous,301.3,7.1,FSI_Report_2017,0.829622620774137
dang_0076,20.726559,73.764579,2024-03-07,1.0,165,165.05,very_dense,Teak,0.7197,0.5351,0.2262,0.2425,0.1597,0.3762,2.3646,1.0717,0.1222,0.1352,73.13,Teak Plantation,558.8,7.0,DAIICT_Study_2019,0.87095538277317
dang_0077,20.791634,73.631729,2024-03-24,1.0,157,157.33,very_dense,Teak,0.8477,0.6,0.1422,0.2521,0.1196,0.4083,4.2175,1.7718,0.1962,0.3166,86.42,Teak Plantation,1055.0,31.8,Field_Survey_2024,0.8033895784837144
dang_0078,20.570426,73.547249,2024-03-14,1.0,145,145.7,very_dense,Sadad,0.7748,0.6,0.1878,0.2339,0.081,0.4389,3.1932,1.2451,0.099,0.2553,72.2,Tropical Deciduous,181.5,2.8,DAIICT_Study_2019,0.7609508470383223
dang_0079,20.784313,73.845455,2024-03-18,1.0,172,172.86,very_dense,Teak,0.7062,0.5907,0.2333,0.1686,0.1696,0.5558,2.531,0.7225,0.1392,0.285,85.32,Tropical Deciduous,1038.4,33.2,Field_Survey_2024,0.8816900543964684
dang_0080,20.806998,73.74122,2024-03-11,1.0,175,175.79,very_dense,Sadad,0.7821,0.6,0.1606,0.2465,0.1326,0.4175,3.7339,1.5342,0.1597,0.1245,71.51,Tropical Deciduous,301.6,30.5,FSI_Report_2017,0.8272464926479914
dang_0081,20.667307,73.587571,2024-03-23,1.0,157,157.35,very_dense,Kher,0.7065,0.5401,0.1401,0.248,0.1132,0.3706,3.8517,1.7686,0.1314,0.248,72.04,Tropical Deciduous,359.5,14.6,FSI_Report_2017,0.7918465224021397
dang_0082,20.584768,73.983365,2024-03-26,1.0,169,169.71,very_dense,Kalam,0.7638,0.5929,0.158,0.2981,0.084,0.3307,3.7511,1.8863,0.1801,0.2736,80.97,Teak Plantation,612.3,30.6,Satellite_Analysis,0.8245051801979477
dang_0083,20.636835,73.796092,2024-03-22,1.0,154,154.37,very_dense,Teak,0.7576,0.6,0.2063,0.1854,0.1576,0.5279,2.9066,0.898,0.1108,0.2806,85.81,Tropical Deciduous,637.0,14.5,FSI_Report_2017,0.7613344463329813
dang_0084,20.545808,73.700872,2024-03-14,1.0,160,160.59,very_dense,Teak,0.7539,0.6,0.1402,0.2087,0.1769,0.4839,4.277,1.4874,0.0887,0.297,78.13,Teak Plantation,274.3,33.9,DAIICT_Study_2019,0.9686017138407237
dang_0085,20.533685,73.581288,2024-03-10,1.0,157,157.95,very_dense,Teak,0.8004,0.5948,0.1548,0.2382,0.1749,0.4281,3.8395,1.5374,0.0879,0.2078,79.48,Teak Plantation,488.9,18.7,Field_Survey_2024,0.88366402044385
dang_0086,20.722843,73.934281,2024-03-06,1.0,148,148.23,very_dense,Sadad,0.7168,0.557,0.1407,0.2297,0.1737,0.4161,3.9571,1.6315,0.0559,0.1366,81.3,Teak Plantation,450.3,17.8,FSI_Report_2017,0.9373967967098157
dang_0087,20.996917,73.98557,2024-03-11,1.0,140,140.7,very_dense,Teak,0.7485,0.6,0.1835,0.1881,0.1322,0.5225,3.2685,1.0249,0.1014,0.2597,73.14,Tropical Deciduous,286.4,32.9,Field_Survey_2024,0.847317185435978
dang_0088,20.591949,73.866481,2024-03-29,1.0,157,157.75,very_dense,Teak,0.8302,0.6,0.1702,0.2757,0.1745,0.3703,3.5233,1.619,0.1525,0.2492,85.45,Teak Plantation,692.1,1.1,Satellite_Analysis,0.9577623735402228
dang_0089,20.839595,73.604628,2024-03-16,1.0,173,173.07,very_dense,Sadad,0.8,0.6,0.1448,0.1739,0.1405,0.5505,4.1395,1.1997,0.0977,0.3599,94.83,Teak Plantation,236.0,10.1,FSI_Report_2017,0.8611631909570183
dang_0090,20.884581,73.965521,2024-03-19,1.0,172,172.31,very_dense,Sadad,0.8143,0.6,0.1493,0.2727,0.092,0.375,4.0173,1.8257,0.1317,0.1017,78.11,Tropical Deciduous,526.4,24.3,DAIICT_Study_2019,0.882007424106154
dang_0091,20.616906,73.684724,2024-03-12,1.0,140,140.59,very_dense,Teak,0.7881,0.5897,0.1778,0.2639,0.13,0.3816,3.3139,1.4831,0.1314,0.3854,91.18,Teak Plantation,923.1,3.8,FSI_Report_2017,0.8631126154144111
dang_0092,20.621231,73.737304,2024-03-11,1.0,170,170.6,very_dense,Teak,0.8219,0.6,0.199,0.1527,0.0996,0.5941,3.014,0.7672,0.0511,0.2942,92.45,Tropical Deciduous,1030.7,2.1,Satellite_Analysis,0.9186540080495599
dang_0093,20.547851,73.741969,2024-03-16,1.0,160,160.92,very_dense,Teak,0.8005,0.6,0.1631,0.2371,0.089,0.4334,3.6771,1.4533,0.1576,0.22,94.42,Teak Plantation,646.4,4.3,Satellite_Analysis,0.8803308978484743
dang_0094,20.59004,73.64509,2024-03-17,1.0,162,162.69,very_dense,Sadad,0.7385,0.6,0.1768,0.2709,0.135,0.3778,3.3916,1.5313,0.0565,0.2899,93.79,Teak Plantation,928.2,30.9,FSI_Report_2017,0.8124677524234915
dang_0095,20.806351,73.703926,2024-03-29,1.0,176,176.24,very_dense,Teak,0.8155,0.6,0.1309,0.1953,0.1532,0.5088,4.5796,1.4907,0.1777,0.3014,90.24,Teak Plantation,292.2,14.8,FSI_Report_2017,0.7834740922042086
dang_0096,20.937375,73.735371,2024-03-21,1.0,143,143.83,very_dense,Teak,0.7035,0.5863,0.1996,0.232,0.1032,0.4329,2.9354,1.1615,0.1086,0.2783,82.42,Teak Plantation,279.6,24.3,DAIICT_Study_2019,0.8894086094430849
dang_0097,20.860437,73.846965,2024-03-07,1.0,153,153.64,very_dense,Teak,0.8228,0.6,0.1369,0.2858,0.1573,0.3546,4.3802,2.0866,0.0897,0.2936,84.89,Tropical Deciduous,498.6,12.0,Field_Survey_2024,0.8625113911558183
dang_0098,20.918404,73.835359,2024-03-12,1.0,149,149.35,very_dense,Teak,0.781,0.6,0.1808,0.2299,0.1124,0.4458,3.317,1.2712,0.1,0.3008,94.85,Teak Plantation,679.9,25.6,DAIICT_Study_2019,0.7720744102401059
dang_0099,20.781653,73.981761,2024-03-13,1.0,165,165.4,very_dense,Teak,0.8132,0.6,0.147,0.2134,0.1622,0.4752,4.0794,1.4509,0.0502,0.1903,94.53,Tropical Deciduous,513.4,4.2,Satellite_Analysis,0.8409920171324518
dang_0100,20.870372,73.885679,2024-03-01,1.0,173,173.68,very_dense,Teak,0.7781,0.6,0.1255,0.2633,0.0928,0.39,4.7782,2.0968,0.1739,0.3346,87.72,Tropical Deciduous,438.0,9.2,DAIICT_Study_2019,0.8683985770601044
dang_0101,20.971719,73.776498,2024-03-11,1.0,173,173.01,very_dense,Teak,0.742,0.6,0.2147,0.1743,0.1586,0.5498,2.7927,0.8111,0.1362,0.27,79.78,Tropical Deciduous,527.3,18.9,Field_Survey_2024,0.9401854437798857
dang_0102,20.766528,73.861699,2024-03-03,1.0,171,171.6,very_dense,Sadad,0.7457,0.5555,0.1666,0.176,0.1495,0.5187,3.3327,1.056,0.1019,0.3927,86.02,Teak Plantation,275.9,30.2,Satellite_Analysis,0.7675032428416734
dang_0103,20.803952,73.883753,2024-03-29,1.0,152,152.7,very_dense,Teak,0.8429,0.6,0.1638,0.1683,0.1278,0.5619,3.6618,1.0269,0.1259,0.1698,72.0,Teak Plantation,265.9,20.8,Satellite_Analysis,0.8301539300965807
dang_0104,20.637304,73.927791,2024-03-29,1.0,140,140.71,very_dense,Kalam,0.7904,0.6,0.1515,0.2347,0.0992,0.4376,3.957,1.5476,0.0818,0.2454,88.86,Teak Plantation,432.5,15.1,FSI_Report_2017,0.9392109082233886
